latitude,longitude,flu_season,mean_temp_C,mean_humidity_percent,days_observed,mean_temp_F
41.4351,-73.7949,2022,5.643209877,71.06584362,243,42.15777778
41.4351,-73.7949,2023,6.348148148,70.42798354,243,43.42666667
41.4351,-73.7949,2024,6.23442623,73.6147541,244,43.22196721
41.4351,-73.7949,2025,5.346502058,68.75308642,243,41.6237037
41.4351,-73.7949,2026,1.032258065,70.59354839,155,33.85806452
41.7201763,-74.7646796,2010,4.09218107,72.8600823,243,39.36592593
41.7201763,-74.7646796,2011,2.759259259,73.55967078,243,36.96666667
41.7201763,-74.7646796,2012,5.751639344,71.06147541,244,42.35295082
41.7201763,-74.7646796,2013,3.348971193,72.8436214,243,38.02814815
41.7201763,-74.7646796,2014,1.861316872,70.63374486,243,35.35037037
41.7201763,-74.7646796,2015,2.068312757,70.55144033,243,35.72296296
41.7201763,-74.7646796,2016,5.246311475,68.98770492,244,41.44336066
41.7201763,-74.7646796,2017,4.081893004,72.66666667,243,39.34740741
41.7201763,-74.7646796,2018,3.02962963,73.05761317,243,37.45333333
41.7201763,-74.7646796,2019,2.978600823,73.38683128,243,37.36148148
41.7201763,-74.7646796,2020,3.733196721,71.26229508,244,38.7197541
41.7201763,-74.7646796,2021,3.887654321,71.81069959,243,38.99777778
41.7201763,-74.7646796,2022,3.883950617,72.22633745,243,38.99111111
41.7201763,-74.7646796,2023,4.734567901,70.33744856,243,40.52222222
41.7201763,-74.7646796,2024,5.073360656,73.34016393,244,41.13204918
41.7201763,-74.7646796,2025,3.50781893,71.85596708,243,38.31407407
41.7201763,-74.7646796,2026,-0.593548387,73.34193548,155,30.9316129
41.7550085,-73.7399512,2010,5.393415638,70.6255144,243,41.70814815
41.7550085,-73.7399512,2011,4.025925926,71.7654321,243,39.24666667
41.7550085,-73.7399512,2012,7.014754098,69.70901639,244,44.62655738
41.7550085,-73.7399512,2013,4.697530864,71.20164609,243,40.45555556
41.7550085,-73.7399512,2014,3.213168724,69.04115226,243,37.7837037
41.7550085,-73.7399512,2015,3.437037037,68.61316872,243,38.18666667
41.7550085,-73.7399512,2016,6.45204918,67.88934426,244,43.61368852
41.7550085,-73.7399512,2017,5.419341564,71.02880658,243,41.75481481
41.7550085,-73.7399512,2018,4.586419753,71.61316872,243,40.25555556
41.7550085,-73.7399512,2019,4.417283951,71.31687243,243,39.95111111
41.7550085,-73.7399512,2020,5.092622951,70.35245902,244,41.16672131
41.7550085,-73.7399512,2021,5.236625514,70.42798354,243,41.42592593
41.7550085,-73.7399512,2022,5.422633745,70.3127572,243,41.76074074
